baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CU104787.1	168.340478409715	-0.0345815674102658	1.39550365474318	-0.0247807071609784	0.980229879788447	NA
BAGE5	637.806878239515	4.18837552909766	1.39693698575554	2.99825659410997	0.00271528955852941	0.0202753412838952
OR11H1	317.883035839788	-1.23763789210845	1.39407684744912	-0.887783119254207	0.374657424945069	NA
CCT8L2	271.569450440607	2.98434881574709	1.39796615090319	2.13477902438409	0.0327790644309153	NA
XKR3	300.506954687365	0.293833600805529	1.39364223337377	0.21083861680498	0.833013203949569	NA
IL17RA	303.328594353356	0.0254265488777777	1.39379803682958	0.0182426350202175	0.985445290459503	NA
CECR6	316.074656057849	-1.2581073575885	1.393920455925	-0.902567540522695	0.366755460347517	NA
CECR5	283.27991229647	0.668113966269894	1.39403060890834	0.479267787952726	0.631748134892129	NA
CECR1	194.490954649968	-0.684047193109998	1.39544029947524	-0.49020169000941	0.623991185047261	NA
CECR2	1831.81625089265	3.69900501701192	1.39267783424223	2.65603783306035	0.00790647436403456	0.0277813625842447
SLC25A18	104.124961767673	0.359007398941584	1.39833620824317	0.256738970803473	0.797380285275886	NA
ATP6V1E1	1058.90060375795	3.2967817337975	1.39335258096581	2.36607860697564	0.017977626905336	0.0459071544189829
BCL2L13	453.199310113953	2.55289093607165	1.39452083464988	1.83065815342415	0.0671515827460932	0.123111235034504
BID	712.095138778991	2.45885328388544	1.39329021204088	1.76478185422959	0.077600435463322	0.132105503229227
MICAL3	180.936657907965	-0.452277746323934	1.39645360911981	-0.32387595504086	0.746031948732764	NA
PEX26	1168.69730305257	-3.91207083036351	1.3940071062507	-2.8063492738465	0.00501063479040072	0.0237932499385842
TUBA8	52.5220233749531	1.98256810251548	1.41503020222063	1.40107829458637	0.161190661503598	NA
USP18	121.701888587318	-0.252140720745025	1.39725516912557	-0.180454312366452	0.856795918979373	NA
GGTLC5P	1.33437785430104	-0.770587480209721	1.93343044002903	-0.39855971244466	0.690217651851272	NA
GGTLC3	3.15887418404534	0.426052034069097	1.66438803037943	0.255981193262949	0.797965359220084	NA
TMEM191B	10.180078110111	-0.758670186251215	1.47834118272372	-0.513190185809091	0.60781829039599	NA
RIMBP3	194.898782800911	-4.66314107150868	1.42396476651884	-3.27475874484496	0.00105752244647621	NA
GGT3P	1.3394412684352	-1.62213627929474	1.99579227788594	-0.81277811186493	0.416345287049771	NA
DGCR6	0.830594604962087	0.553513143477691	2.17853543246097	0.254075804887147	0.799436995059301	NA
